"","unitid","year","instatetuition","costs","faculty","white_cohortsize"
"1","100654","1991","1298","53.121007","223","11"
"2","100654","1992","1600","52.536624","267","5"
"3","100654","1993","1600","50.39972","262","7"
"4","100654","1994","1887","61.852822","273","9"
"5","100654","1995","2022","68.024267","298","18"
"6","100654","1996","2312","66.424951","311","17"
"7","100654","1997","2420","72.461862","306","22"
"8","100654","1998","2332","78.356177","237","25"
"9","100654","1999","1932","75.868666","243","26"
"10","100654","2000","2400","79.084093","273.5","26"
"11","100654","2001","2400","96.538667","304","18"
"12","100654","2002","2520","90.776734","284","18"
"13","100654","2003","2832","107.761966","294","17"
"14","100654","2004","3120","110.994174","307","10"
"15","100654","2005","3120","118.90095","319","13"
"16","100654","2006","3120","123.859683","319","12"
"17","100654","2007","3432","126.371645","311","9"
"18","100654","2008","3432","132.165814","309","7"
"19","100654","2009","3948","122.977893","311","24"
"20","100654","2010","4872","138.956247","276","15"
"21","100663","1991","2050","712.376923","709","600"
"22","100663","1992","2238","812.820108","786","576"
"23","100663","1993","2358","910.784994","802","613"
"24","100663","1994","2511","887.410933","721","605"
"25","100663","1995","2604","937.402922","707","602"
"26","100663","1996","2700","1024.898335","680","568"
"27","100663","1997","2850","1075.711679","690","631"
"28","100663","1998","3060","1188.3903","691","611"
"29","100663","1999","2730","1180.033219","708","667"
"30","100663","2000","2820","1215.222121","564.5","653"
"31","100663","2001","2970","1334.286573","421","648"
"32","100663","2002","3150","1335.089128","804","775"
"33","100663","2003","3480","1440.737915","833","781"
"34","100663","2004","3840","1571.319289","810","846"
"35","100663","2005","3960","1604.47474","824","875"
"36","100663","2006","3960","1707.177796","824","905"
"37","100663","2007","3384","1824.09488","852","835"
"38","100663","2008","3792","2213.659961","849","790"
"39","100663","2009","4224","2223.549388","832","932"
"40","100663","2010","5806","2338.666019","861","921"
"41","100706","1993","2418","88.193788","282","324"
"42","100706","1994","2480","87.765454","286","300"
"43","100706","1995","2620","96.26538","283","271"
"44","100706","1996","2698","91.729354","274","296"
"45","100706","1997","2832","91.631721","274","313"
"46","100706","1998","2942","95.311083","270","368"
"47","100706","1999","2175","99.570373","277","413"
"48","100706","2000","2317","100.606933","277","453"
"49","100706","2001","2666","109.783685","277","472"
"50","100706","2002","2894","107.569907","275","488"
"51","100706","2003","3256","112.64211","277","622"
"52","100706","2004","3646","119.626905","271","507"
"53","100706","2005","3818","130.588938","280","500"
"54","100706","2006","3978","143.671161","287","591"
"55","100706","2007","4346","157.572752","289","567"
"56","100706","2008","5052","169.654116","302","576"
"57","100706","2009","5580","172.720795","303","562"
"58","100706","2010","6352","178.46689","303","415"
"59","100724","1991","1268","46.358625","195","3"
"60","100724","1992","1608","44.012394","200","14"
"61","100724","1993","1638","47.76311","216","11"
"62","100724","1994","1608","49.752252","201","17"
"63","100724","1995","1752","54.813554","222","61"
"64","100724","1996","2090","69.521281","222","45"
"65","100724","1997","2090","61.766604","219","37"
"66","100724","1998","2090","68.197368","199","40"
"67","100724","1999","2520","70.507857","213","28"
"68","100724","2000","2520","73.08823","215.5","10"
"69","100724","2001","2904","78.122026","218","39"
"70","100724","2002","2904","81.782669","229","30"
"71","100724","2003","3600","83.820282","229","15"
"72","100724","2004","4008","82.633864","231","17"
"73","100724","2005","4008","95.03077","228","17"
"74","100724","2006","4008","99.976745","231","6"
"75","100724","2007","4008","109.972118","239","12"
"76","100724","2008","4608","122.962727","243","9"
"77","100724","2009","5616","128.144087","241","6"
"78","100724","2010","6312","135.104796","253","11"
"79","100751","1991","1936","237.693778","818","2174"
"80","100751","1992","2068","237.079401","773","2075"
"81","100751","1993","2172","257.63431","762","2148"
"82","100751","1994","2260","280.612262","766","2130"
"83","100751","1995","2374","294.397959","770","2133"
"84","100751","1996","2470","295.929705","738","1777"
"85","100751","1997","2594","306.024341","750","2111"
"86","100751","1998","2684","320.186995","781","2088"
"87","100751","1999","2872","341.218829","795","2216"
"88","100751","2000","3014","357.569083","787","2357"
"89","100751","2001","3292","380.9844","779","2047"
"90","100751","2002","3556","372.067854","794","2230"
"91","100751","2003","4134","392.176082","810","2584"
"92","100751","2004","4630","404.323227","800","2873"
"93","100751","2005","4864","449.794843","813","3048"
"94","100751","2006","5278","496.55614","850","3609"
"95","100751","2007","5700","565.427668","904","3890"
"96","100751","2008","6400","629.500088","1067","4280"
"97","100751","2009","7000","658.67213","1106","4221"
"98","100751","2010","7900","760.107259","1175","4332"
"99","100812","1991","1420","10.256632","68",NA
"100","100812","1992","1680","11.254769","65",NA
